attack,alpha,round,n_runs,gas_AUC_mean,gas_AUC_std,gas_AUC_min,gas_AUC_max,gas_gain_mean,gas_gain_std,gas_gain_min,gas_gain_max,L1L2_caught_mean,L1L2_caught_std,L1L2_caught_min,L1L2_caught_max,gas_caught_topk_mean,gas_caught_topk_std,gas_caught_topk_min,gas_caught_topk_max,n_attacker_mean,n_attacker_std,n_attacker_min,n_attacker_max
alie,0.1,15,3,0.4909676833696442,0.06605873860232242,0.4375,0.5648148148148149,-2.0,1.0,-3.0,-1.0,4.666666666666667,1.5275252316519465,3.0,6.0,2.6666666666666665,0.5773502691896258,2.0,3.0,7.0,1.0,6.0,8.0
alie,0.1,25,3,0.43827160493827155,0.07071876072462714,0.3611111111111111,0.49999999999999994,-3.0,2.0,-5.0,-1.0,4.0,1.0,3.0,5.0,1.0,1.0,0.0,2.0,6.0,0.0,6.0,6.0
alie,0.1,35,3,0.39911889097744363,0.03759359396824401,0.35714285714285715,0.4296875,-3.6666666666666665,2.081665999466133,-6.0,-2.0,6.0,2.6457513110645907,4.0,9.0,2.3333333333333335,1.1547005383792515,1.0,3.0,7.666666666666667,2.516611478423583,5.0,10.0
alie,0.1,45,3,0.6278501861270824,0.13299175058131404,0.4765625,0.7263157894736842,-2.3333333333333335,1.5275252316519468,-4.0,-1.0,4.333333333333333,1.5275252316519465,3.0,6.0,2.0,0.0,2.0,2.0,6.666666666666667,1.5275252316519465,5.0,8.0
alie,0.25,15,3,0.8907978006017222,0.10187509834811591,0.7983193277310925,1.0,0.3333333333333333,2.5166114784235836,-2.0,3.0,6.0,0.0,6.0,6.0,6.333333333333333,2.516611478423583,4.0,9.0,8.333333333333334,1.1547005383792517,7.0,9.0
alie,0.25,25,3,0.8140432098765432,0.05784690882440957,0.75,0.8625,-2.3333333333333335,1.1547005383792515,-3.0,-1.0,6.333333333333333,2.0816659994661326,4.0,8.0,4.0,2.6457513110645907,1.0,6.0,7.0,2.6457513110645907,4.0,9.0
alie,0.25,35,3,0.916889176999471,0.060598524377934525,0.8671328671328671,0.984375,0.6666666666666666,1.1547005383792517,0.0,2.0,6.333333333333333,2.309401076758503,5.0,9.0,7.0,2.0,5.0,9.0,8.666666666666666,2.081665999466133,7.0,11.0
alie,0.25,45,3,0.8262461709830132,0.06037823980731575,0.768421052631579,0.888888888888889,-1.0,1.7320508075688772,-3.0,0.0,5.333333333333333,2.516611478423583,3.0,8.0,4.333333333333333,3.214550253664318,2.0,8.0,7.0,2.6457513110645907,5.0,10.0
alie,0.5,15,3,0.7032186948853615,0.07331435967264872,0.625,0.7703703703703704,-2.6666666666666665,0.5773502691896258,-3.0,-2.0,7.666666666666667,0.5773502691896258,7.0,8.0,5.0,1.0,4.0,6.0,9.0,1.0,8.0,10.0
alie,0.5,25,3,0.6648341049382717,0.012863417455903102,0.6574074074074074,0.6796875,-3.3333333333333335,0.5773502691896258,-4.0,-3.0,6.0,1.7320508075688772,5.0,8.0,2.6666666666666665,1.1547005383792515,2.0,4.0,6.666666666666667,1.1547005383792517,6.0,8.0
alie,0.5,35,3,0.8110636277302944,0.04309448395175503,0.762962962962963,0.8461538461538461,-0.6666666666666666,0.5773502691896258,-1.0,0.0,6.333333333333333,2.0816659994661326,4.0,8.0,5.666666666666667,2.516611478423583,3.0,8.0,8.666666666666666,2.5166114784235836,6.0,11.0
alie,0.5,45,3,0.776377217553688,0.07676722579320558,0.6890756302521008,0.8333333333333334,-1.0,1.0,-2.0,0.0,5.0,1.0,4.0,6.0,4.0,0.0,4.0,4.0,6.666666666666667,0.5773502691896258,6.0,7.0
alie,1.0,15,3,0.6741985683162154,0.06421984528157369,0.6302521008403361,0.7478991596638656,-3.6666666666666665,1.1547005383792515,-5.0,-3.0,7.666666666666667,1.1547005383792517,7.0,9.0,4.0,0.0,4.0,4.0,7.666666666666667,1.1547005383792517,7.0,9.0
alie,1.0,25,3,0.6694677871148459,0.10095698202207337,0.5714285714285714,0.7731092436974789,-4.0,1.0,-5.0,-3.0,8.0,1.7320508075688772,7.0,10.0,4.0,1.0,3.0,5.0,8.0,1.7320508075688772,7.0,10.0
alie,1.0,35,3,0.7713106295149639,0.19394186552644446,0.5473684210526316,0.8842105263157894,-2.0,1.0,-3.0,-1.0,5.666666666666667,1.1547005383792517,5.0,7.0,3.6666666666666665,2.081665999466133,2.0,6.0,5.666666666666667,1.1547005383792517,5.0,7.0
alie,1.0,45,3,0.6886160714285715,0.06266917473824311,0.6171875,0.734375,-4.0,0.0,-4.0,-4.0,7.666666666666667,0.5773502691896258,7.0,8.0,3.6666666666666665,0.5773502691896258,3.0,4.0,7.666666666666667,0.5773502691896258,7.0,8.0
minmax,0.1,15,3,0.7481481481481481,0.03394500514782103,0.7111111111111111,0.7777777777777778,1.6666666666666667,2.0816659994661326,0.0,4.0,3.0,2.0,1.0,5.0,4.666666666666667,0.5773502691896258,4.0,5.0,9.0,0.0,9.0,9.0
minmax,0.1,25,3,0.5348117024587613,0.045478239853051376,0.4888888888888889,0.5798319327731092,-3.3333333333333335,3.2145502536643185,-7.0,-1.0,6.0,3.0,3.0,9.0,2.6666666666666665,1.1547005383792515,2.0,4.0,8.666666666666666,1.5275252316519468,7.0,10.0
minmax,0.1,35,3,0.5952899678389875,0.03369451862105846,0.5630252100840336,0.6302521008403361,-5.0,0.0,-5.0,-5.0,7.333333333333333,1.5275252316519465,6.0,9.0,2.3333333333333335,1.5275252316519465,1.0,4.0,7.666666666666667,1.1547005383792517,7.0,9.0
minmax,0.1,45,3,0.5780478395061729,0.12190177973636027,0.5,0.7185185185185186,-2.6666666666666665,4.163331998932265,-6.0,2.0,6.0,4.358898943540674,1.0,9.0,3.3333333333333335,1.5275252316519465,2.0,5.0,9.0,1.0,8.0,10.0
minmax,0.25,15,3,0.9637254901960784,0.031722920955614596,0.9411764705882353,1.0,3.3333333333333335,1.5275252316519468,2.0,5.0,2.0,1.0,1.0,3.0,5.333333333333333,2.0816659994661326,3.0,7.0,6.0,1.7320508075688772,4.0,7.0
minmax,0.25,25,3,0.8589891975308642,0.07173203012864138,0.796875,0.9375,2.3333333333333335,2.081665999466133,0.0,4.0,2.3333333333333335,2.081665999466133,0.0,4.0,4.666666666666667,2.0816659994661326,3.0,7.0,7.333333333333333,1.1547005383792517,6.0,8.0
minmax,0.25,35,3,0.883909119203237,0.0920084254024991,0.7777777777777778,0.9411764705882353,2.0,2.6457513110645907,-1.0,4.0,3.6666666666666665,2.081665999466133,2.0,6.0,5.666666666666667,0.5773502691896258,5.0,6.0,7.666666666666667,1.1547005383792517,7.0,9.0
minmax,0.25,45,3,0.9133691305469557,0.053615573738553676,0.8515625,0.9473684210526316,0.6666666666666666,2.3094010767585034,-2.0,2.0,4.333333333333333,2.516611478423583,2.0,7.0,5.0,1.0,4.0,6.0,6.666666666666667,1.5275252316519465,5.0,8.0
minmax,0.5,15,3,1.0,0.0,1.0,1.0,6.666666666666667,0.5773502691896258,6.0,7.0,0.0,0.0,0.0,0.0,6.666666666666667,0.5773502691896258,6.0,7.0,6.666666666666667,0.5773502691896258,6.0,7.0
minmax,0.5,25,3,1.0,0.0,1.0,1.0,6.666666666666667,1.5275252316519465,5.0,8.0,0.0,0.0,0.0,0.0,6.666666666666667,1.5275252316519465,5.0,8.0,6.666666666666667,1.5275252316519465,5.0,8.0
minmax,0.5,35,3,1.0,0.0,1.0,1.0,8.333333333333334,0.5773502691896257,8.0,9.0,0.0,0.0,0.0,0.0,8.333333333333334,0.5773502691896257,8.0,9.0,8.333333333333334,0.5773502691896257,8.0,9.0
minmax,0.5,45,3,1.0,0.0,1.0,1.0,8.0,2.0,6.0,10.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,10.0,8.0,2.0,6.0,10.0
minmax,1.0,15,3,1.0,0.0,1.0,1.0,6.333333333333333,0.5773502691896258,6.0,7.0,0.3333333333333333,0.5773502691896258,0.0,1.0,6.666666666666667,0.5773502691896258,6.0,7.0,6.666666666666667,0.5773502691896258,6.0,7.0
minmax,1.0,25,3,1.0,0.0,1.0,1.0,6.333333333333333,0.5773502691896258,6.0,7.0,0.6666666666666666,0.5773502691896258,0.0,1.0,7.0,0.0,7.0,7.0,7.0,0.0,7.0,7.0
minmax,1.0,35,3,1.0,0.0,1.0,1.0,5.333333333333333,0.5773502691896258,5.0,6.0,0.3333333333333333,0.5773502691896258,0.0,1.0,5.666666666666667,0.5773502691896258,5.0,6.0,5.666666666666667,0.5773502691896258,5.0,6.0
minmax,1.0,45,3,1.0,0.0,1.0,1.0,6.666666666666667,1.5275252316519465,5.0,8.0,0.6666666666666666,0.5773502691896258,0.0,1.0,7.333333333333333,2.0816659994661326,5.0,9.0,7.333333333333333,2.0816659994661326,5.0,9.0
