attack,alpha,n_runs,anchor_DCV_mean,anchor_DCV_std,anchor_DCV_min,anchor_DCV_max,std_DCV_mean,std_DCV_std,std_DCV_min,std_DCV_max,anchor_Dsim_mean,anchor_Dsim_std,anchor_Dsim_min,anchor_Dsim_max,std_Dsim_mean,std_Dsim_std,std_Dsim_min,std_Dsim_max,anchor_Dcluster_mean,anchor_Dcluster_std,anchor_Dcluster_min,anchor_Dcluster_max,std_Dcluster_mean,std_Dcluster_std,std_Dcluster_min,std_Dcluster_max
alie,0.1,3,0.5553760072246751,0.007870145369324505,0.5470830152924174,0.5627410279682341,0.03558097650709532,0.004035570696665078,0.031059540093702726,0.0388180606377758,0.12405429942661829,0.004247519399396578,0.12023075448816774,0.1286262972859162,0.009199106156454263,0.001287277134030426,0.008250580425755676,0.010664482851517188,0.47521465063275636,0.006127550992365707,0.46871446167871966,0.48088498039490846,0.03708253740836621,0.007905466915545004,0.032244302465341476,0.04620538661152234
alie,0.25,3,0.5565003295933842,0.005717108786996348,0.5500440970185179,0.5609213954131853,0.09895686151436289,0.006981708604791304,0.09408625569674572,0.10695563045337804,0.051584157726585644,0.0005167532766716165,0.05098748739667922,0.05188721909592242,0.02432730320831068,0.00023720679349239872,0.0240618937525179,0.024518620464396703,0.6274057026376831,0.007504193502953602,0.6187975734045237,0.6325688385311021,0.11051459340008742,0.00822547511377124,0.10465846259214844,0.11991859424362862
alie,0.5,3,0.3305834829762759,0.00442048185978345,0.326282075347334,0.33511411939061914,0.04460917154760402,0.0057861180416376775,0.03929700449552224,0.0507745032694623,0.043042523342448076,0.0020866637031340405,0.041073362308355746,0.045229588381779824,0.022167908920487242,0.00298061958942782,0.019290348617527032,0.025241873515386964,0.3641311324177492,0.006217593637977643,0.36032518806956465,0.37130615934885147,0.05222279185011916,0.006992132244169437,0.04586840508863453,0.0597134803315954
alie,1.0,3,0.28200531717845284,0.003873078193193622,0.2782217515062938,0.28596209584841115,0.04011742839521751,0.011264300304412408,0.03325205623855668,0.053117478802917596,0.03536346719628675,0.0008074352086193741,0.03447393168191056,0.03605009553855605,0.023602838656859314,0.0009352956544993503,0.02278787358967869,0.024624040927611328,0.2804239862246967,0.005837306596857619,0.27552521397764,0.28688282008567195,0.03565462572613813,0.010209227579778024,0.026122212369324535,0.04642734133002165
gaussian_noise,0.1,3,0.5568145371165932,0.0126230431921635,0.5422519465769119,0.5646338258914253,0.0456074735666103,0.006333192135368447,0.03995936769190688,0.0524543983195433,0.12131496564064193,0.008083106961164193,0.11480725916282108,0.13036312086033636,0.011971329861767972,0.0020662308946441084,0.010132807050877083,0.01420747604400947,0.4720581007810722,0.007520208856045052,0.46362622863300673,0.47807158804979927,0.03825518572685284,0.00963111843901616,0.02905111908709662,0.04826298544517549
gaussian_noise,0.25,3,0.5624722250201813,0.0007159840307477456,0.5616581558320096,0.563004166179098,0.07835453287810656,0.012866542253730953,0.07073227829529642,0.09320983672881955,0.05124183633440175,0.001039431519451196,0.05031388162359699,0.052365050312459506,0.022544680927668242,0.0029194761748120605,0.019207782009943365,0.024628064531859988,0.6356298333301037,0.003452786494407357,0.6324115610522575,0.6392770512228327,0.08512052930134854,0.014533358653347579,0.07507805285688154,0.10178565063419326
gaussian_noise,0.5,3,0.32911439692509714,0.011181954485016772,0.31742713660727256,0.3397111382548678,0.04726254247498204,0.011908894721318026,0.03356239557732384,0.055137923058467,0.042942952188018406,0.0014121241392446105,0.04154933872438242,0.044372886275837194,0.022322736480767033,0.00228235597486025,0.020563790065757082,0.02490183594949034,0.36631975579745174,0.01198720060927206,0.3543039554129882,0.3782781504470775,0.05375800110756623,0.013120276505395621,0.03860812868338424,0.06138470339246358
gaussian_noise,1.0,3,0.2896372015259142,0.0028083093208747423,0.28784418748261775,0.2928736715220811,0.04190650860874809,0.005457343989601896,0.03627050885356981,0.047165662617187375,0.03321599315537365,0.00018425507270874447,0.03301982276354036,0.033385407271406084,0.02571655793647434,0.0023183333238075967,0.023039705313068058,0.027077665180675243,0.2888661311972972,0.0052826298054758905,0.28304791473592894,0.2933618854402348,0.03501878805168521,0.00797500807403178,0.027810385450463482,0.043585846667885245
label_flip,0.1,3,0.5601609117765407,0.010226758671493167,0.5483969414882042,0.5669335962057164,0.03976986969256579,0.003359983587329878,0.03591101087557208,0.04204771864702495,0.12003031139687072,0.007661527304215171,0.11422686141087124,0.12871468083927565,0.0089373073593756,0.0008679440400665945,0.007979531269332303,0.009671784092905079,0.47874284292082175,0.002750647834651981,0.47557503628370823,0.4805262815562287,0.03909949236007618,0.005067431100542328,0.0340841880564414,0.04421748931961543
label_flip,0.25,3,0.5530310462992712,0.0019758119108370916,0.5513456171225773,0.5552054249123509,0.08148940471987003,0.011689967478165543,0.06807230051479929,0.08947909916550123,0.05325533431636543,0.00042838680085583114,0.05276575125712603,0.05356133509550541,0.023832753603776662,0.0014097176522211569,0.022234288721688242,0.02489841872774749,0.623635464682476,0.003229790838196978,0.6212198590826408,0.627303996245999,0.08852520539458479,0.01444736546519798,0.07189043739523798,0.097933341011688
label_flip,0.5,3,0.3141888099259544,0.00921977347163551,0.3035492138009567,0.31983027332847913,0.04246022965070945,0.008216654245170915,0.0333185868908244,0.049230183296493694,0.04749711599095369,0.0029507484253240156,0.04413428974088988,0.04965336169538965,0.024279730130988053,0.0022075720846040014,0.02175296292033913,0.025834592905576714,0.34812962285081644,0.009990160492791047,0.3366835799732212,0.3550953765636421,0.05448498997428789,0.008989215116253444,0.044905341458783284,0.06273584574675112
label_flip,1.0,3,0.29731463788126905,0.007574405489857817,0.2924144606374771,0.3060387057635193,0.02588166314877226,0.004710891980795747,0.021961977707658148,0.031107934008254807,0.03416530977841879,0.002880563346757279,0.03170894436801078,0.0373357455368048,0.025176173251618264,0.000982884960651638,0.024078128976057652,0.025973765143303986,0.2953785689841264,0.006203724648687327,0.29131474527986595,0.30251931653455905,0.022348873010469394,0.008981611735564844,0.016209737270046824,0.03265740549165481
minmax,0.1,3,0.552447775513535,0.005742173786715473,0.5471273159391579,0.5585346789406995,0.04029786366954654,0.005776319944690587,0.035719562408991365,0.04678763809625359,0.1258281789654805,0.0037611290104710075,0.12149767705241876,0.12827830940378043,0.01012724349387354,0.003617941123947305,0.006035889875543116,0.012904437325178361,0.470637893711166,0.002818919844618121,0.46738663985221507,0.4723988733239337,0.03298014674960207,0.006732978173089238,0.025220059147455114,0.037271013364732736
minmax,0.25,3,0.5489192281478049,0.008866525306730225,0.539185784894333,0.5565355557169386,0.09390788195915302,0.006992092684858253,0.08731397891269842,0.10123964352426777,0.05253161749523352,0.0013061789476040723,0.051444236719437694,0.05398046296900696,0.02337819445439881,0.0014380398896595892,0.02182951899861328,0.024671340406723086,0.6194711805710026,0.010898911397763738,0.6074260927710164,0.6286517562273706,0.10050396885824116,0.006943257122966114,0.09340918502085262,0.10728506626772574
minmax,0.5,3,0.33599181316811316,0.005995571238591625,0.3305239318489511,0.34240319585805934,0.0500944414139915,0.01657423887394998,0.0373382774900953,0.068828315771038,0.043745785414634336,0.002408910261704269,0.04207341348587257,0.04650686819387605,0.02348785810826225,0.0006371757450311108,0.022907585766283507,0.024169728802758077,0.37469632631362987,0.007270712479115066,0.36799174227467646,0.38242465245116575,0.06231194507288144,0.017205937300530702,0.047418403115474295,0.08114647633892898
minmax,1.0,3,0.2939450986580122,0.016166895519928642,0.2771986093266456,0.3094622100678409,0.040644809809731314,0.01205302126934045,0.0269539323482372,0.04965709589780135,0.03447083584375676,0.002499713580988281,0.03260381157752632,0.037310714489103364,0.025009793417618765,0.0030042706360604255,0.021542904648343398,0.02684884912172154,0.29472077300509997,0.018168228721152885,0.27680707447005465,0.31313326019191506,0.034335772898533304,0.012118206995255561,0.020457320100446263,0.04282172219723059
on_off,0.1,3,0.565443838543871,0.013494738503273906,0.5498868820010769,0.57399289751575,0.041026491434094835,0.003877988418132977,0.037248574655003246,0.044997348663370164,0.11745714933419123,0.00838469206983974,0.11240587079287119,0.12713586486122747,0.009673951810824333,0.0005827902257149876,0.009215172921037448,0.010329704826984554,0.4805654138334908,0.007234365540403115,0.47294602026076416,0.48734069251218,0.03996263619120502,0.00618060545394171,0.033805280460591225,0.04616623190860053
on_off,0.25,3,0.5526341716980898,0.00871427787255992,0.5433643601282779,0.5606590013664072,0.09222652000365257,0.010234028162075328,0.08212677126353841,0.10258973973817381,0.05199054410413519,0.0010518285558362246,0.05077599720064492,0.05259823623137396,0.023019118383867096,0.0018196304559550854,0.020939547280773074,0.024318890505493303,0.6253410193951335,0.008887656453873478,0.6159902348181341,0.6336787276295875,0.10132226211183055,0.012648889888620448,0.0894670682106706,0.11463803871567219
on_off,0.5,3,0.3326262358472503,0.015290085785910864,0.3237758210719551,0.3502816866971113,0.052308640621411016,0.01456721561305583,0.03740460549315228,0.06651388507266477,0.04313540535741247,0.003681407913238977,0.038940908523744974,0.04583049276421221,0.023663858869786822,0.001009691881781838,0.02300819583513163,0.02482658989296899,0.36929679842732366,0.01610472345475943,0.3576255620708993,0.3876703111252962,0.06451002782392418,0.01673784839502194,0.0461039638938996,0.07881876021567759
on_off,1.0,3,0.294268580585809,0.00959631770805079,0.28546116788681725,0.30449563860904727,0.04122957582319254,0.01871523989506716,0.02659342830412391,0.06231709378646868,0.03315313968293582,0.0024501667677815178,0.030325602311627935,0.03465111941497864,0.024765639897507703,0.0025238978773632673,0.021863730564144875,0.026449515497265298,0.2926437583664952,0.008819901037417855,0.28361688529473816,0.3012409831216176,0.033606170626237324,0.021094698471873657,0.01731410429120025,0.05743380876647254
sign_flip,0.1,3,0.5542665559801273,0.014678391529654212,0.5395358539409917,0.5688920716654227,0.044024523859435116,0.005716599045354928,0.03773529751542305,0.048905146432536475,0.1244646299146203,0.010574916628783501,0.11464124895217305,0.13565762213638255,0.010256231876594532,0.004999896832298183,0.007018311954426262,0.016014741845450618,0.4743753271254802,0.007462723881696197,0.4687085235727791,0.4828308059962647,0.04039636254098192,0.008705090920993702,0.0314077275922899,0.0487870808240399
sign_flip,0.25,3,0.5628237856949118,0.003939859029441919,0.5583211255162395,0.5656381678763533,0.07823038529363269,0.020831805819751574,0.062123308398385445,0.10175601762443126,0.051420893717461315,0.0007897645545312605,0.05094141049420932,0.05233242393464629,0.022072527721128,0.00208488310132375,0.020712517735093774,0.024472857443549628,0.6367894623082205,0.005031438751716545,0.6310267507006003,0.640310147532458,0.08354203261348321,0.022812852283985777,0.06574726420397725,0.10926011514708067
sign_flip,0.5,3,0.340380375621669,0.009449747118220542,0.3296723697130918,0.3475514305000158,0.04927543010313401,0.004173393171268333,0.044643729754521376,0.052743549548264365,0.0430506701971668,0.0018574688236675588,0.0414934650325265,0.045106584208743784,0.024878785215850924,0.0008589264331462653,0.023894556594598246,0.02547684825647275,0.37938449044303235,0.009678371805534736,0.3687052058680934,0.38757641980086716,0.06109675231760622,0.003777165655193787,0.05678109165448324,0.06380073754235752
sign_flip,1.0,3,0.29108218430029204,0.0161261611079819,0.2739596846668934,0.3059812631466186,0.037175511919150084,0.009418680457124174,0.02766163140604804,0.04649601435235935,0.03468111450911076,0.0026461457404600938,0.0325003186757891,0.03762493747949787,0.02522464013074246,0.0007346331093275292,0.024439543003767734,0.025895402067798126,0.29153465819096563,0.015242277678427542,0.274420549796294,0.3036494503238249,0.02754628978758707,0.006233559860569303,0.02230792920575032,0.03444062532086741
slow_poison,0.1,3,0.5693543387494552,0.011814711839540401,0.5558058370792345,0.5775127834728616,0.03910525398739379,0.01195314329579187,0.025353212433485296,0.047000416302317403,0.11471132071594677,0.005629569211575549,0.11110702138798637,0.12119842707916843,0.008610676966309055,0.0020201264466248973,0.006313884585978887,0.010111875412130612,0.48152831171135374,0.009991122925959462,0.4714423811668432,0.4914218481984367,0.033871844226756924,0.01740681973094436,0.013792089653108536,0.04468629581093986
slow_poison,0.25,3,0.5688104694709543,0.007474359167113344,0.5606584652431236,0.5753409909392615,0.07811603288204323,0.0030047927580305975,0.07609573490203528,0.08156904424489898,0.04942832494277352,0.0021952636794841203,0.0469086618545027,0.05092827325780662,0.023287007084703493,0.0024650944812926044,0.020447527595065625,0.024879106838351803,0.6411803949683238,0.007412797827126655,0.6336085349523289,0.6484231694260307,0.08384448563318335,0.0028569111127748135,0.0810996304202571,0.08680161147633064
slow_poison,0.5,3,0.32704469117180507,0.011105006720523176,0.31856112845409396,0.33961371979334365,0.05587633345815094,0.014075024969892531,0.04341544117294114,0.07114287115050219,0.04402261311273911,0.0025194833708527026,0.04129200572186182,0.046257188867816185,0.025323498956791243,0.0016905006946348602,0.023384825002128882,0.026490193659322862,0.3629078778821646,0.013444831969226119,0.3549681418310239,0.37843127135494753,0.06681795462810369,0.014400025618414419,0.05318348716151359,0.08187756122895719
slow_poison,1.0,3,0.29535811960681974,0.004750149823155892,0.2902622890789945,0.29966339276433035,0.04103341805115252,0.011533830465255778,0.03258418505983406,0.05417358790008569,0.03409121594757849,0.002358051252237695,0.03220964945948554,0.03673645991905283,0.025645523322094632,0.002293246367024529,0.02354680698003591,0.028093281002045868,0.293894808749612,0.006339749092187426,0.28873403214529264,0.30097155192901653,0.03978672889574013,0.012307264392562777,0.026812534088150413,0.05129592333657815
