dataset,attack,alpha,round,n_flagged,n_rescued,n_rescued_correct,n_rescued_wrong
fashion-mnist,label_flip,0.1,19,2,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,20,3,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,22,4,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,23,4,1.0,1.0,0.0
fashion-mnist,label_flip,0.1,24,2,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,25,3,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,26,4,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,27,3,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,28,5,1.0,0.0,1.0
fashion-mnist,label_flip,0.1,29,4,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,30,2,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,31,2,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,32,2,2.0,1.0,1.0
fashion-mnist,label_flip,0.1,33,3,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,34,3,1.0,1.0,0.0
fashion-mnist,label_flip,0.1,35,2,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,36,2,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,37,1,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,38,4,1.0,0.0,1.0
fashion-mnist,label_flip,0.1,39,4,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,40,1,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,41,3,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,42,3,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,43,7,5.0,2.0,3.0
fashion-mnist,label_flip,0.1,44,4,1.0,0.0,1.0
fashion-mnist,label_flip,0.1,45,2,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,46,2,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,47,4,0.0,0.0,0.0
fashion-mnist,label_flip,0.1,48,4,1.0,1.0,0.0
fashion-mnist,label_flip,0.1,49,4,3.0,1.0,2.0
fashion-mnist,label_flip,0.1,50,2,0.0,0.0,0.0
fashion-mnist,label_flip,0.25,11,2,2.0,0.0,2.0
fashion-mnist,label_flip,0.25,12,1,0.0,0.0,0.0
fashion-mnist,label_flip,0.25,13,2,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,14,1,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,15,2,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,16,3,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,17,2,0.0,0.0,0.0
fashion-mnist,label_flip,0.25,18,2,2.0,0.0,2.0
fashion-mnist,label_flip,0.25,19,2,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,20,2,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,21,1,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,22,2,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,23,2,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,24,2,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,25,2,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,27,1,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,28,2,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,29,1,0.0,0.0,0.0
fashion-mnist,label_flip,0.25,30,1,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,31,2,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,32,3,2.0,0.0,2.0
fashion-mnist,label_flip,0.25,33,1,0.0,0.0,0.0
fashion-mnist,label_flip,0.25,34,1,0.0,0.0,0.0
fashion-mnist,label_flip,0.25,35,2,2.0,0.0,2.0
fashion-mnist,label_flip,0.25,37,2,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,38,2,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,39,1,0.0,0.0,0.0
fashion-mnist,label_flip,0.25,40,3,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,41,2,0.0,0.0,0.0
fashion-mnist,label_flip,0.25,42,4,2.0,0.0,2.0
fashion-mnist,label_flip,0.25,43,2,2.0,0.0,2.0
fashion-mnist,label_flip,0.25,44,2,2.0,0.0,2.0
fashion-mnist,label_flip,0.25,46,4,2.0,0.0,2.0
fashion-mnist,label_flip,0.25,47,2,0.0,0.0,0.0
fashion-mnist,label_flip,0.25,48,2,1.0,0.0,1.0
fashion-mnist,label_flip,0.25,49,2,2.0,0.0,2.0
fashion-mnist,label_flip,0.25,50,1,1.0,0.0,1.0
fashion-mnist,label_flip,0.5,12,1,1.0,1.0,0.0
fashion-mnist,label_flip,0.5,15,1,0.0,0.0,0.0
fashion-mnist,label_flip,0.5,16,1,1.0,1.0,0.0
fashion-mnist,label_flip,0.5,17,1,1.0,1.0,0.0
fashion-mnist,label_flip,0.5,18,1,1.0,1.0,0.0
fashion-mnist,label_flip,0.5,21,1,1.0,1.0,0.0
fashion-mnist,label_flip,0.5,26,2,1.0,1.0,0.0
fashion-mnist,label_flip,0.5,28,1,1.0,1.0,0.0
fashion-mnist,label_flip,0.5,30,5,0.0,0.0,0.0
fashion-mnist,label_flip,0.5,37,1,1.0,1.0,0.0
fashion-mnist,label_flip,0.5,39,2,1.0,1.0,0.0
fashion-mnist,label_flip,0.5,41,5,0.0,0.0,0.0
fashion-mnist,label_flip,0.5,42,1,1.0,1.0,0.0
fashion-mnist,label_flip,0.5,43,2,0.0,0.0,0.0
fashion-mnist,label_flip,0.5,46,4,1.0,1.0,0.0
fashion-mnist,label_flip,0.5,50,1,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,11,2,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,12,2,1.0,1.0,0.0
fashion-mnist,label_flip,1.0,13,2,1.0,1.0,0.0
fashion-mnist,label_flip,1.0,14,3,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,15,2,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,16,2,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,17,5,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,18,2,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,19,1,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,20,2,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,21,3,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,23,5,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,24,6,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,26,1,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,27,3,1.0,1.0,0.0
fashion-mnist,label_flip,1.0,28,6,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,29,2,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,30,3,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,31,3,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,32,2,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,33,4,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,34,3,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,35,8,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,36,3,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,37,7,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,38,7,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,39,7,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,40,4,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,41,6,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,42,7,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,43,14,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,44,4,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,45,8,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,46,4,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,47,3,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,48,14,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,49,10,0.0,0.0,0.0
fashion-mnist,label_flip,1.0,50,7,0.0,0.0,0.0
fashion-mnist,minmax,0.1,11,2,1.0,0.0,1.0
fashion-mnist,minmax,0.1,12,4,1.0,1.0,0.0
fashion-mnist,minmax,0.1,13,4,0.0,0.0,0.0
fashion-mnist,minmax,0.1,14,2,1.0,0.0,1.0
fashion-mnist,minmax,0.1,15,4,2.0,2.0,0.0
fashion-mnist,minmax,0.1,16,2,0.0,0.0,0.0
fashion-mnist,minmax,0.1,17,2,0.0,0.0,0.0
fashion-mnist,minmax,0.1,18,3,1.0,0.0,1.0
fashion-mnist,minmax,0.1,19,3,2.0,1.0,1.0
fashion-mnist,minmax,0.1,20,2,1.0,0.0,1.0
fashion-mnist,minmax,0.1,21,3,0.0,0.0,0.0
fashion-mnist,minmax,0.1,22,4,3.0,2.0,1.0
fashion-mnist,minmax,0.1,23,3,0.0,0.0,0.0
fashion-mnist,minmax,0.1,24,4,4.0,2.0,2.0
fashion-mnist,minmax,0.1,25,3,1.0,1.0,0.0
fashion-mnist,minmax,0.1,26,3,2.0,1.0,1.0
fashion-mnist,minmax,0.1,27,3,2.0,1.0,1.0
fashion-mnist,minmax,0.1,28,1,0.0,0.0,0.0
fashion-mnist,minmax,0.1,29,2,0.0,0.0,0.0
fashion-mnist,minmax,0.1,30,3,3.0,0.0,3.0
fashion-mnist,minmax,0.1,31,4,2.0,1.0,1.0
fashion-mnist,minmax,0.1,33,3,1.0,1.0,0.0
fashion-mnist,minmax,0.1,34,2,1.0,1.0,0.0
fashion-mnist,minmax,0.1,35,3,1.0,0.0,1.0
fashion-mnist,minmax,0.1,36,3,3.0,1.0,2.0
fashion-mnist,minmax,0.1,37,2,1.0,1.0,0.0
fashion-mnist,minmax,0.1,38,4,3.0,2.0,1.0
fashion-mnist,minmax,0.1,39,3,3.0,0.0,3.0
fashion-mnist,minmax,0.1,40,6,6.0,2.0,4.0
fashion-mnist,minmax,0.1,41,3,1.0,0.0,1.0
fashion-mnist,minmax,0.1,42,1,0.0,0.0,0.0
fashion-mnist,minmax,0.1,43,4,1.0,1.0,0.0
fashion-mnist,minmax,0.1,44,2,1.0,0.0,1.0
fashion-mnist,minmax,0.1,46,1,0.0,0.0,0.0
fashion-mnist,minmax,0.1,47,4,3.0,2.0,1.0
fashion-mnist,minmax,0.1,48,3,2.0,1.0,1.0
fashion-mnist,minmax,0.1,49,4,3.0,2.0,1.0
fashion-mnist,minmax,0.1,50,1,1.0,0.0,1.0
fashion-mnist,minmax,0.25,11,3,1.0,1.0,0.0
fashion-mnist,minmax,0.25,14,2,1.0,0.0,1.0
fashion-mnist,minmax,0.25,15,1,0.0,0.0,0.0
fashion-mnist,minmax,0.25,16,1,1.0,0.0,1.0
fashion-mnist,minmax,0.25,19,1,1.0,0.0,1.0
fashion-mnist,minmax,0.25,21,1,1.0,0.0,1.0
fashion-mnist,minmax,0.25,23,1,1.0,0.0,1.0
fashion-mnist,minmax,0.25,24,1,1.0,0.0,1.0
fashion-mnist,minmax,0.25,25,1,1.0,0.0,1.0
fashion-mnist,minmax,0.25,26,1,1.0,0.0,1.0
fashion-mnist,minmax,0.25,28,1,0.0,0.0,0.0
fashion-mnist,minmax,0.25,33,1,0.0,0.0,0.0
fashion-mnist,minmax,0.25,34,1,0.0,0.0,0.0
fashion-mnist,minmax,0.25,35,1,1.0,0.0,1.0
fashion-mnist,minmax,0.25,38,1,0.0,0.0,0.0
fashion-mnist,minmax,0.25,40,1,0.0,0.0,0.0
fashion-mnist,minmax,0.25,41,2,1.0,0.0,1.0
fashion-mnist,minmax,0.25,42,2,0.0,0.0,0.0
fashion-mnist,minmax,0.25,43,1,1.0,1.0,0.0
fashion-mnist,minmax,0.25,44,5,2.0,2.0,0.0
fashion-mnist,minmax,0.25,45,1,1.0,1.0,0.0
fashion-mnist,minmax,0.25,47,2,0.0,0.0,0.0
fashion-mnist,minmax,0.25,48,4,1.0,1.0,0.0
fashion-mnist,minmax,0.25,49,1,0.0,0.0,0.0
fashion-mnist,minmax,0.25,50,2,1.0,1.0,0.0
fashion-mnist,minmax,0.5,11,1,1.0,1.0,0.0
fashion-mnist,minmax,0.5,12,1,1.0,1.0,0.0
fashion-mnist,minmax,0.5,15,1,1.0,1.0,0.0
fashion-mnist,minmax,0.5,16,6,1.0,1.0,0.0
fashion-mnist,minmax,0.5,17,2,1.0,1.0,0.0
fashion-mnist,minmax,0.5,19,2,2.0,2.0,0.0
fashion-mnist,minmax,0.5,22,6,1.0,1.0,0.0
fashion-mnist,minmax,0.5,23,2,2.0,2.0,0.0
fashion-mnist,minmax,0.5,24,1,1.0,1.0,0.0
fashion-mnist,minmax,0.5,25,5,1.0,1.0,0.0
fashion-mnist,minmax,0.5,26,1,1.0,1.0,0.0
fashion-mnist,minmax,0.5,27,1,1.0,1.0,0.0
fashion-mnist,minmax,0.5,28,2,1.0,1.0,0.0
fashion-mnist,minmax,0.5,29,1,1.0,1.0,0.0
fashion-mnist,minmax,0.5,30,1,1.0,1.0,0.0
fashion-mnist,minmax,0.5,31,2,2.0,2.0,0.0
fashion-mnist,minmax,0.5,34,1,1.0,1.0,0.0
fashion-mnist,minmax,0.5,36,4,1.0,1.0,0.0
fashion-mnist,minmax,0.5,37,1,0.0,0.0,0.0
fashion-mnist,minmax,0.5,38,2,2.0,2.0,0.0
fashion-mnist,minmax,0.5,39,1,1.0,1.0,0.0
fashion-mnist,minmax,0.5,40,2,2.0,2.0,0.0
fashion-mnist,minmax,0.5,41,2,2.0,2.0,0.0
fashion-mnist,minmax,0.5,42,2,2.0,2.0,0.0
fashion-mnist,minmax,0.5,43,2,2.0,2.0,0.0
fashion-mnist,minmax,0.5,44,2,2.0,2.0,0.0
fashion-mnist,minmax,0.5,45,1,1.0,1.0,0.0
fashion-mnist,minmax,0.5,46,3,3.0,3.0,0.0
fashion-mnist,minmax,0.5,47,3,2.0,2.0,0.0
fashion-mnist,minmax,0.5,48,1,1.0,1.0,0.0
fashion-mnist,minmax,0.5,49,2,2.0,1.0,1.0
fashion-mnist,minmax,0.5,50,2,2.0,2.0,0.0
fashion-mnist,minmax,1.0,11,1,1.0,1.0,0.0
fashion-mnist,minmax,1.0,12,8,2.0,2.0,0.0
fashion-mnist,minmax,1.0,13,12,1.0,1.0,0.0
fashion-mnist,minmax,1.0,14,6,1.0,1.0,0.0
fashion-mnist,minmax,1.0,15,2,2.0,2.0,0.0
fashion-mnist,minmax,1.0,16,1,0.0,0.0,0.0
fashion-mnist,minmax,1.0,17,1,1.0,1.0,0.0
fashion-mnist,minmax,1.0,18,8,3.0,3.0,0.0
fashion-mnist,minmax,1.0,20,8,2.0,2.0,0.0
fashion-mnist,minmax,1.0,21,6,1.0,1.0,0.0
fashion-mnist,minmax,1.0,22,2,1.0,1.0,0.0
fashion-mnist,minmax,1.0,23,1,1.0,1.0,0.0
fashion-mnist,minmax,1.0,25,6,1.0,1.0,0.0
fashion-mnist,minmax,1.0,26,1,0.0,0.0,0.0
fashion-mnist,minmax,1.0,27,2,0.0,0.0,0.0
fashion-mnist,minmax,1.0,28,6,0.0,0.0,0.0
fashion-mnist,minmax,1.0,29,4,0.0,0.0,0.0
fashion-mnist,minmax,1.0,30,1,1.0,1.0,0.0
fashion-mnist,minmax,1.0,32,2,1.0,1.0,0.0
fashion-mnist,minmax,1.0,33,2,2.0,2.0,0.0
fashion-mnist,minmax,1.0,34,2,2.0,2.0,0.0
fashion-mnist,minmax,1.0,35,1,0.0,0.0,0.0
fashion-mnist,minmax,1.0,36,1,1.0,1.0,0.0
fashion-mnist,minmax,1.0,37,13,1.0,1.0,0.0
fashion-mnist,minmax,1.0,38,2,1.0,1.0,0.0
fashion-mnist,minmax,1.0,39,1,0.0,0.0,0.0
fashion-mnist,minmax,1.0,40,2,1.0,1.0,0.0
fashion-mnist,minmax,1.0,41,1,1.0,1.0,0.0
fashion-mnist,minmax,1.0,42,9,0.0,0.0,0.0
fashion-mnist,minmax,1.0,43,2,1.0,1.0,0.0
fashion-mnist,minmax,1.0,44,1,0.0,0.0,0.0
fashion-mnist,minmax,1.0,45,5,1.0,1.0,0.0
fashion-mnist,minmax,1.0,46,8,2.0,2.0,0.0
fashion-mnist,minmax,1.0,47,4,1.0,1.0,0.0
fashion-mnist,minmax,1.0,48,2,1.0,1.0,0.0
fashion-mnist,minmax,1.0,49,2,2.0,2.0,0.0
fashion-mnist,minmax,1.0,50,1,1.0,1.0,0.0
fashion-mnist,none,0.5,13,1,0.0,0.0,0.0
fashion-mnist,none,0.5,16,1,0.0,0.0,0.0
fashion-mnist,none,0.5,17,1,0.0,0.0,0.0
fashion-mnist,none,0.5,19,1,0.0,0.0,0.0
fashion-mnist,none,0.5,20,1,0.0,0.0,0.0
fashion-mnist,none,0.5,21,1,0.0,0.0,0.0
fashion-mnist,none,0.5,22,1,0.0,0.0,0.0
fashion-mnist,none,0.5,23,2,1.0,1.0,0.0
fashion-mnist,none,0.5,24,1,0.0,0.0,0.0
fashion-mnist,none,0.5,26,2,0.0,0.0,0.0
fashion-mnist,none,0.5,27,1,0.0,0.0,0.0
fashion-mnist,none,0.5,28,1,0.0,0.0,0.0
fashion-mnist,none,0.5,29,1,0.0,0.0,0.0
fashion-mnist,none,0.5,30,1,0.0,0.0,0.0
fashion-mnist,none,0.5,33,1,1.0,1.0,0.0
fashion-mnist,none,0.5,34,1,0.0,0.0,0.0
fashion-mnist,none,0.5,36,1,0.0,0.0,0.0
fashion-mnist,none,0.5,37,2,0.0,0.0,0.0
fashion-mnist,none,0.5,38,1,0.0,0.0,0.0
fashion-mnist,none,0.5,43,1,0.0,0.0,0.0
fashion-mnist,none,0.5,44,1,0.0,0.0,0.0
fashion-mnist,none,0.5,48,2,1.0,1.0,0.0
fashion-mnist,none,0.5,50,1,0.0,0.0,0.0
fashion-mnist,none,1.0,11,2,0.0,0.0,0.0
fashion-mnist,none,1.0,12,1,0.0,0.0,0.0
fashion-mnist,none,1.0,13,1,0.0,0.0,0.0
fashion-mnist,none,1.0,15,3,0.0,0.0,0.0
fashion-mnist,none,1.0,16,3,1.0,1.0,0.0
fashion-mnist,none,1.0,17,3,0.0,0.0,0.0
fashion-mnist,none,1.0,18,2,0.0,0.0,0.0
fashion-mnist,none,1.0,19,4,0.0,0.0,0.0
fashion-mnist,none,1.0,20,3,1.0,1.0,0.0
fashion-mnist,none,1.0,22,2,2.0,2.0,0.0
fashion-mnist,none,1.0,24,2,2.0,2.0,0.0
fashion-mnist,none,1.0,25,2,1.0,1.0,0.0
fashion-mnist,none,1.0,26,1,0.0,0.0,0.0
fashion-mnist,none,1.0,27,1,1.0,1.0,0.0
fashion-mnist,none,1.0,28,1,1.0,1.0,0.0
fashion-mnist,none,1.0,31,1,1.0,1.0,0.0
fashion-mnist,none,1.0,32,1,1.0,1.0,0.0
fashion-mnist,none,1.0,33,2,1.0,1.0,0.0
fashion-mnist,none,1.0,34,3,1.0,1.0,0.0
fashion-mnist,none,1.0,37,3,1.0,1.0,0.0
fashion-mnist,none,1.0,38,1,0.0,0.0,0.0
fashion-mnist,none,1.0,39,4,4.0,4.0,0.0
fashion-mnist,none,1.0,40,2,1.0,1.0,0.0
fashion-mnist,none,1.0,41,2,2.0,2.0,0.0
fashion-mnist,none,1.0,42,1,1.0,1.0,0.0
fashion-mnist,none,1.0,44,4,3.0,3.0,0.0
fashion-mnist,none,1.0,45,2,2.0,2.0,0.0
fashion-mnist,none,1.0,46,4,4.0,4.0,0.0
fashion-mnist,none,1.0,47,3,1.0,1.0,0.0
fashion-mnist,none,1.0,48,1,1.0,1.0,0.0
fashion-mnist,none,1.0,50,3,3.0,3.0,0.0
fashion-mnist,on_off,0.1,11,3,0.0,0.0,0.0
fashion-mnist,on_off,0.1,12,4,0.0,0.0,0.0
fashion-mnist,on_off,0.1,13,3,0.0,0.0,0.0
fashion-mnist,on_off,0.1,14,3,0.0,0.0,0.0
fashion-mnist,on_off,0.1,15,4,1.0,1.0,0.0
fashion-mnist,on_off,0.1,16,3,0.0,0.0,0.0
fashion-mnist,on_off,0.1,17,3,0.0,0.0,0.0
fashion-mnist,on_off,0.1,18,4,0.0,0.0,0.0
fashion-mnist,on_off,0.1,19,3,0.0,0.0,0.0
fashion-mnist,on_off,0.1,20,3,0.0,0.0,0.0
fashion-mnist,on_off,0.1,21,2,0.0,0.0,0.0
fashion-mnist,on_off,0.1,22,3,0.0,0.0,0.0
fashion-mnist,on_off,0.1,23,2,0.0,0.0,0.0
fashion-mnist,on_off,0.1,24,1,0.0,0.0,0.0
fashion-mnist,on_off,0.1,25,4,1.0,1.0,0.0
fashion-mnist,on_off,0.1,26,3,0.0,0.0,0.0
fashion-mnist,on_off,0.1,27,4,0.0,0.0,0.0
fashion-mnist,on_off,0.1,28,2,0.0,0.0,0.0
fashion-mnist,on_off,0.1,29,4,0.0,0.0,0.0
fashion-mnist,on_off,0.1,30,6,0.0,0.0,0.0
fashion-mnist,on_off,0.1,31,4,0.0,0.0,0.0
fashion-mnist,on_off,0.1,32,3,0.0,0.0,0.0
fashion-mnist,on_off,0.1,33,2,0.0,0.0,0.0
fashion-mnist,on_off,0.1,34,3,0.0,0.0,0.0
