attack,alpha,separation_mad_mean,separation_mad_std,overlap_rate_mean,overlap_rate_std,benign_pct_above_thr_mean,benign_pct_above_thr_std,attacker_pct_below_thr_mean,attacker_pct_below_thr_std,K1.5_attacker_caught_mean,K1.5_benign_flagged_mean,K2.0_attacker_caught_mean,K2.0_benign_flagged_mean,K2.5_attacker_caught_mean,K2.5_benign_flagged_mean,K3.0_attacker_caught_mean,K3.0_benign_flagged_mean,K3.5_attacker_caught_mean,K3.5_benign_flagged_mean
alie,0.1,0.5616772236479097,1.3617136620147585,0.764940304506868,0.11834283917713657,0.12729037155797993,0.09044286620491596,0.8538341750841751,0.127865778218493,1.8041666666666667,3.3541666666666665,1.2916666666666667,2.6791666666666667,1.0166666666666666,2.1666666666666665,0.7625,1.7666666666666666,0.5958333333333333,1.3666666666666667
alie,0.25,2.977468057872722,1.5358624767533569,0.4232879730277176,0.16673431539258401,0.0634719255167204,0.04888143052889903,0.748720689033189,0.15769121121872962,3.1666666666666665,1.9791666666666667,2.45,1.45,1.7708333333333333,1.075,1.2291666666666667,0.7666666666666667,0.7875,0.6125
alie,0.5,1.6108246211970787,0.9960850874501915,0.556457157339994,0.14182760004717393,0.03292081306206693,0.03882333598860288,0.814025974025974,0.11938003646602864,2.6125,1.8791666666666667,1.9166666666666667,1.0458333333333334,1.3375,0.5541666666666667,0.95,0.30416666666666664,0.6208333333333333,0.13333333333333333
alie,1.0,2.0426556486807086,1.4025783218360621,0.7186714297448624,0.172000916642059,0.07725601495096464,0.06207986846767606,0.8177627465127465,0.1689013968331624,2.9541666666666666,2.55,2.066666666666667,1.7916666666666667,1.3041666666666667,1.2958333333333334,0.7666666666666667,0.875,0.38333333333333336,0.5958333333333333
gaussian_noise,0.1,50.61794394808955,16.877132777329642,0.0,0.0,0.02908278150441463,0.040595706855885705,0.0,0.0,7.275,1.2041666666666666,7.275,0.75,7.275,0.5125,7.275,0.35833333333333334,7.229166666666667,0.2125
gaussian_noise,0.25,91.20866273151084,24.402037118422065,0.0,0.0,0.035421941803037,0.03169624788216364,0.0,0.0,7.220833333333333,1.0208333333333333,7.220833333333333,0.775,7.220833333333333,0.6083333333333333,7.220833333333333,0.5583333333333333,7.220833333333333,0.5
gaussian_noise,0.5,87.15999476995694,23.439116762873663,0.0,0.0,0.0024868134388258225,0.012354988758406026,0.0,0.0,7.175,0.30416666666666664,7.175,0.14166666666666666,7.175,0.04583333333333333,7.175,0.0125,7.175,0.0
gaussian_noise,1.0,134.62864708677978,54.05683906638517,0.0,0.0,0.009992669582452865,0.027025215122402264,0.0,0.0,7.1875,0.7041666666666667,7.1875,0.3458333333333333,7.1875,0.18333333333333332,7.1875,0.075,7.1875,0.020833333333333332
label_flip,0.1,0.5134167866440019,1.4247826888405801,0.846763449363101,0.12584249839957928,0.11081613169896838,0.08883527111241532,0.8803575937950937,0.11935667979235555,1.6791666666666667,2.9583333333333335,1.1958333333333333,2.3541666666666665,0.8416666666666667,1.8833333333333333,0.6833333333333333,1.5375,0.55,1.2
label_flip,0.25,2.994663593991937,1.3663409184659763,0.4006382483830239,0.19081724744622325,0.0663414961407415,0.04599899694783315,0.740564424001924,0.1720883715896962,3.2916666666666665,2.158333333333333,2.525,1.55,1.7916666666666667,1.1291666666666667,1.1833333333333333,0.875,0.7708333333333334,0.7333333333333333
label_flip,0.5,2.1505390421502097,1.7161036528426523,0.626957372495782,0.12103760533888672,0.035082367376775274,0.047841869700778146,0.6547486772486771,0.13705670071017131,3.4583333333333335,2.0625,2.9,1.225,2.4791666666666665,0.5958333333333333,1.9875,0.30833333333333335,1.4166666666666667,0.12916666666666668
label_flip,1.0,2.59819057613913,1.7401711007938931,0.3994890747009555,0.18174172660262403,0.06191123449492257,0.059459808223150286,0.7543211880711881,0.15898238414971227,2.933333333333333,2.15,2.254166666666667,1.55,1.7583333333333333,1.0291666666666666,1.2833333333333334,0.725,0.9083333333333333,0.48333333333333334
minmax,0.1,0.7082103492749414,1.3787354506280214,0.6926684745816906,0.17828086096846424,0.09203132954148821,0.09082312625526928,0.8822031325156325,0.15126468863668374,1.5625,3.0708333333333333,1.1916666666666667,2.1166666666666667,0.8541666666666666,1.55,0.6916666666666667,1.0958333333333334,0.5375,0.8166666666666667
minmax,0.25,3.021079549527535,2.7998231778420664,0.37088401563391893,0.31780074365307204,0.08273908064687863,0.07864154649518447,0.72275958994709,0.3021156482742909,3.341666666666667,2.441666666666667,2.495833333333333,1.8708333333333333,1.8166666666666667,1.4041666666666666,1.25,1.1125,0.7708333333333334,0.8875
minmax,0.5,5.318949018078195,1.492832406369117,0.0053459578275754744,0.018403109836113537,0.0029358962152112307,0.01314669447942628,0.6231994047619048,0.3930931862114874,5.858333333333333,0.3541666666666667,4.041666666666667,0.15,2.375,0.05416666666666667,1.2041666666666666,0.008333333333333333,0.5583333333333333,0.0
minmax,1.0,8.861672423478094,3.9011563397109374,0.0013260095704948646,0.010603459879634894,0.007530964871328648,0.02013292404172392,0.16153273809523808,0.30727989192475413,6.729166666666667,0.65,6.358333333333333,0.32916666666666666,5.6625,0.1375,4.591666666666667,0.07083333333333333,3.6083333333333334,0.03333333333333333
on_off,0.1,0.9597933166223874,2.3055448207892675,0.7937390734802693,0.1904904448497692,0.10838001867413632,0.09072174594514625,0.8526736111111111,0.15964660900380592,1.9875,2.870833333333333,1.5041666666666667,2.3583333333333334,1.05,1.8333333333333333,0.7916666666666666,1.3875,0.5916666666666667,1.0666666666666667
on_off,0.25,4.873345964073091,7.426206622837201,0.5749433032603505,0.31579871180442354,0.07931446164273176,0.05728605173254971,0.616456228956229,0.3194511419044165,3.4625,2.341666666666667,3.120833333333333,1.7541666666666667,2.754166666666667,1.3458333333333334,2.370833333333333,1.0416666666666667,2.0166666666666666,0.8125
on_off,0.5,3.312016086208616,6.8652360917811555,0.6792006466329222,0.3593251509969076,0.06495482732566711,0.06854365741810599,0.6624101130351131,0.3405975098777957,2.904166666666667,2.591666666666667,2.7041666666666666,1.6708333333333334,2.433333333333333,1.0833333333333333,2.1416666666666666,0.6541666666666667,1.8208333333333333,0.30833333333333335
on_off,1.0,5.738660794145344,13.07322224437356,0.7414257374677267,0.3795367304903139,0.10091357632234181,0.08261377006435665,0.7530968915343916,0.3869777739505244,2.5375,2.9625,2.0875,2.2291666666666665,1.8,1.7166666666666666,1.6708333333333334,1.2583333333333333,1.5541666666666667,0.875
sign_flip,0.1,459.58426405538825,153.3718141338697,0.0,0.0,0.03503651643405901,0.04511216991279752,0.0,0.0,7.316666666666666,1.2458333333333333,7.316666666666666,0.8583333333333333,7.316666666666666,0.6166666666666667,7.316666666666666,0.425,7.316666666666666,0.2708333333333333
sign_flip,0.25,720.9927415950976,205.70606988769717,0.0,0.0,0.03602838796337248,0.03148201201544674,0.0,0.0,7.0625,1.15,7.0625,0.775,7.0625,0.6208333333333333,7.0625,0.5166666666666667,7.0625,0.475
sign_flip,0.5,648.147911157385,175.66747067309393,0.0,0.0,0.0022782651072124757,0.012074092917853066,0.0,0.0,7.070833333333334,0.3416666666666667,7.070833333333334,0.14583333333333334,7.070833333333334,0.041666666666666664,7.070833333333334,0.016666666666666666,7.070833333333334,0.004166666666666667
sign_flip,1.0,995.2608146811777,454.21074840469987,0.0,0.0,0.011051037008370599,0.025960019700118315,0.004166666666666667,0.06454972243679027,7.266666666666667,0.6583333333333333,7.266666666666667,0.37083333333333335,7.266666666666667,0.2,7.266666666666667,0.1,7.266666666666667,0.041666666666666664
slow_poison,0.1,-0.14366607895503505,0.5939505778000789,0.8290206682650568,0.11155673513058992,0.18627989007681345,0.08080000652673763,0.9623726851851852,0.06700194363143452,0.6541666666666667,4.604166666666667,0.3875,3.7875,0.2791666666666667,3.1125,0.17916666666666667,2.5166666666666666,0.12916666666666668,1.9458333333333333
slow_poison,0.25,3.939230446875539,1.5147381288132993,0.33074480995727124,0.22884369241154484,0.0430024883885178,0.035102625832789405,0.7524433321308321,0.21532517182745073,4.05,1.4791666666666667,2.7583333333333333,0.9958333333333333,1.675,0.7333333333333333,0.8291666666666667,0.6458333333333334,0.4083333333333333,0.6041666666666666
slow_poison,0.5,3.5646255430917306,1.5802253912518136,0.4041968233255966,0.25984449158495815,0.010479607413140694,0.026254069035987218,0.7305522486772487,0.22009536144392952,3.8958333333333335,0.8125,2.7916666666666665,0.37083333333333335,1.8291666666666666,0.18333333333333332,1.0833333333333333,0.05416666666666667,0.625,0.016666666666666666
slow_poison,1.0,5.962442027001411,2.754869438396948,0.30189907114442716,0.287575347383808,0.022972737706193586,0.04189671302637598,0.5140384499759499,0.24817346449336747,5.054166666666666,1.1875,4.141666666666667,0.7583333333333333,3.3375,0.4083333333333333,2.575,0.2125,1.7791666666666666,0.10833333333333334
